Station,River Name,Station Height,Latitude,Longitude,OUTFLOW,Last Reading at,Max. Peak,INFLOW
Panjnad,Chenab River,100 m,29.3464,71.0202,"7,594 (Falling Trend)",11-Dec 06 PKT,"703,698 (EX_HIGH on 11-Sep)","13,594 (Falling Trend)"
Mangla Dam,Jhelum River,335 m,33.1507,73.6491,"38,315 (Rising Trend)",11-Dec 06 PKT,"38,315 (NORMAL Today)","4,000 (Rising Trend)"
Guddu,Indus River,74 m,28.4201,69.7114,"38,376 (Rising Trend)",11-Dec 06 PKT,"606,489 (HIGH on 14-Sep)","42,862 (Rising Trend)"
Sukkur,Indus River,57 m,27.679,68.8462,"12,395 (Falling Trend)",11-Dec 06 PKT,"518,120 (HIGH on 16-Sep)","41,395 (Falling Trend)"
Kotri,Indus River,15 m,25.4428,68.3151,"4,690 (Rising Trend)",11-Dec 06 PKT,"393,560 (MEDIUM on 26-Sep)","13,945 (Rising Trend)"
Tarbela Dam,Indus River,430 m,34.1059,72.7338,"20,200 (Rising Trend)",12-Dec 06 PKT,"382,700 (MEDIUM on 17-Aug)","21,000 (Rising Trend)"
KABUL,Kabul River,287 m,34.0067,71.977,"7,000 (Falling Trend)",12-Dec 06 PKT,"109,900 (MEDIUM on 16-Aug)",
Kalabagh,Indus River,211 m,32.9187,71.5219,"21,597 (Falling Trend)",12-Dec 06 PKT,"464,391 (MEDIUM on 18-Aug)","27,097 (Falling Trend)"
Chashma,Indus River,191 m,32.4359,71.3794,"30,336 (Rising Trend)",12-Dec 06 PKT,"495,435 (MEDIUM on 17-Aug)","33,336 (Rising Trend)"
Taunsa,Indus River,131 m,30.5185,70.8367,"34,611 (Steady Trend)",12-Dec 06 PKT,"501,312 (HIGH on 19-Aug)","37,997 (Steady Trend)"
Marala,Chenab River,242 m,32.6735,74.4647,0 (Steady Trend),12-Dec 06 PKT,"895,740 (EX_HIGH on 27-Aug)","3,842 (Rising Trend)"
